"Sequence","Country Code","Geographic Area","Reference Date","Population Subgroup","Subpop Code","Sex","Age","Source ID","Comments","Data Type","Country","Site Name","Author","Year","Title","Publication Information","Virus Type","NO_CASES","NO_DEATHS","PREV_RATE","INC_RATE","Specimen Type","Test Type","SAMPSIZE"
"2","AFG","Kabul","2007-2009","IVDU","I","M","ALL","T0396","391 person yrs. of observation.  Age 18+.   June 07 - Dec. 09.  Rapid test: SD Bioline.","I","Afghanistan","Kabul","Todd, C. S., A. Nasir, M. R. Stanekzai, et al.",2015,"Hepatitis C and HIV Incidence and Harm Reduction Program Use in a Conflict Setting: An Observational Cohort of Injecting Drug Users in Kabul, Afghanistan","Harm Reduction Journal, vol. 12, no. 22, pp. 1-9, <http://doi:10.1186/s12954-015-0056-z>, accessed on March 21, 2019.","HIV1","9","-1","-1.00","2.30","BW","RAPID, WB","316"
"30","ARG","Five cities","2006-2008","Transgender individuals","R","M","ALL","P0588","Cities: Buenos Aires, Santiago del Estero, Rosario, Cordoba, & La Plata.  Age 19+.  Sex workers.  STARHS.  Oct. 06 - Nov. 08.  Rapid test: SFD HIV1/2.","I","Argentina","Five cities","Pando, M. A., M. Gomez, M. Vignoles, et al.",2011,"Incidence of HIV Type 1 Infection, Antiretroviral Drug Resistance, and Molecular Characterization in Newly Diagnosed ...","AIDS Research and Human Retroviruses, vol. 27, no. 1, pp. 17-23.","HIV","-1","-1","-1.00","11.31","BW","ELISA, RAPID, WB","N/A"
"25","ARG","Buenos Aires","2006-2008","MSM","H","M","ALL","P0588","MSM=Men having sex w/ men.  Age 19+.  Oct. 06 - Nov. 08.  STARHS.  Rapid test: SFD HIV1/2.","I","Argentina","Buenos Aires","Pando, M. A., M. Gomez, M. Vignoles, et al.",2011,"Incidence of HIV Type 1 Infection, Antiretroviral Drug Resistance, and Molecular Characterization in Newly Diagnosed ...","AIDS Research and Human Retroviruses, vol. 27, no. 1, pp. 17-23.","HIV","-1","-1","-1.00","6.33","BW","ELISA, RAPID, WB","N/A"
"2","ARG","Buenos Aires","2000-2001","IVDU","I","B","ALL","V0293","Recruited from out-of-treatment settings.  STARHS.","I","Argentina","Buenos Aires","Vignoles, M., M. M. Avila, M. L. Osimani, et al.",2006,"HIV Seroincidence Estimates among At-Risk Populations in Buenos Aires and Montevideo: Use of the Serologic Testing Algorithm ...","Journal of Acquired Immune Deficiency Syndromes, vol. 42, no. 4, pp. 494-500.","HIV1","-1","-1","-1.00","0.00","BW","ELISA*2","N/A"
"31","ARG","Buenos Aires","2006-2008","Pregnant women","G","F","ALL","P0588","Site: Hospital Materno Infantil Ramon Sarda.  Age 19+.  STARHS.  Oct. 06 - Nov. 08.  Rapid test: SFD HIV1/2.","I","Argentina","Hospital Materno Infantil Ramon Sarda","Pando, M. A., M. Gomez, M. Vignoles, et al.",2011,"Incidence of HIV Type 1 Infection, Antiretroviral Drug Resistance, and Molecular Characterization in Newly Diagnosed ...","AIDS Research and Human Retroviruses, vol. 27, no. 1, pp. 17-23.","HIV","-1","-1","-1.00","0.05","BW","ELISA, RAPID, WB","N/A"
"11","ARG","Buenos Aires","2000-2001","Sex workers","P","F","ALL","V0293","STARHS.","I","Argentina","Buenos Aires","Vignoles, M., M. M. Avila, M. L. Osimani, et al.",2006,"HIV Seroincidence Estimates among At-Risk Populations in Buenos Aires and Montevideo: Use of the Serologic Testing Algorithm ...","Journal of Acquired Immune Deficiency Syndromes, vol. 42, no. 4, pp. 494-500.","HIV1","-1","-1","-1.00","1.30","BW","ELISA*2","N/A"
"4","ARG","Buenos Aires","2007-2009","Homosexuals & bisexuals","H","M","ALL","P0609","Age 18+.  Group included: men whose sexual partners included women & those who did not.  Breakdown by group is provided.  Nov. 07 - July 09.  STARHS.  Rapid test: SFD HIV.","I","Argentina","Buenos Aires","Pando, M. A., I. C. Balan, R. Marone, et al.",2012,"HIV and Other Sexually Transmitted Infections among Men Who Have Sex with Men Recruited by RDS in Buenos Aires, Argentina ...","PLoS One, vol. 7, issue 6, e39834, pp. 1-7, <http://www.plosone.org>, accessed on January 3, 2014.","HIV","-1","-1","-1.00","4.53","BW","ELISA, RAPID, WB","494"
"4","ARG","Buenos Aires","2002-2003","Drug users","I","B","ALL","V0293","Street based & drug treatment/rehabilitation center.  Non injecting cocaine users.  STARHS.","I","Argentina","Buenos Aires","Vignoles, M., M. M. Avila, M. L. Osimani, et al.",2006,"HIV Seroincidence Estimates among At-Risk Populations in Buenos Aires and Montevideo: Use of the Serologic Testing Algorithm ...","Journal of Acquired Immune Deficiency Syndromes, vol. 42, no. 4, pp. 494-500.","HIV1","-1","-1","-1.00","3.10","BW","ELISA*2","N/A"
"10","ARG","Buenos Aires","2001-2002","TB pts.","U","B","ALL","V0293","Sites: Tornu, Rivadavia, & Durand hospitals.  STARHS.","I","Argentina","Tornu, Rivadavia, Durand hospitals","Vignoles, M., M. M. Avila, M. L. Osimani, et al.",2006,"HIV Seroincidence Estimates among At-Risk Populations in Buenos Aires and Montevideo: Use of the Serologic Testing Algorithm ...","Journal of Acquired Immune Deficiency Syndromes, vol. 42, no. 4, pp. 494-500.","HIV1","-1","-1","-1.00","2.40","BW","ELISA*2","N/A"
"27","ARG","Five cities","2006-2008","Drug users","I","F","ALL","P0588","Cities: Buenos Aires, Rosario, Cordoba, La Plata, & Tucuman.  Age 19+.  Oct. 06 - Nov. 08.  STARHS.  Rapid test: SFD HIV1/2.","I","Argentina","Five cities","Pando, M. A., M. Gomez, M. Vignoles, et al.",2011,"Incidence of HIV Type 1 Infection, Antiretroviral Drug Resistance, and Molecular Characterization in Newly Diagnosed ...","AIDS Research and Human Retroviruses, vol. 27, no. 1, pp. 17-23.","HIV","-1","-1","-1.00","2.72","BW","ELISA, RAPID, WB","N/A"
"6","ARG","Buenos Aires","2007-2009","Bisexuals","H","M","ALL","P0609","Age 18+.  Men having sex w/ men (MSM).  Nov. 07 - July 09.  STARHS.  Rapid test: SFD HIV.","I","Argentina","Buenos Aires","Pando, M. A., I. C. Balan, R. Marone, et al.",2012,"HIV and Other Sexually Transmitted Infections among Men Who Have Sex with Men Recruited by RDS in Buenos Aires, Argentina ...","PLoS One, vol. 7, issue 6, e39834, pp. 1-7, <http://www.plosone.org>, accessed on January 3, 2014.","HIV","-1","-1","-1.00","4.28","BW","ELISA, RAPID, WB","335"
"9","ARG","Buenos Aires","2001-2002","STI pts.","S","B","ALL","V0293","Sites: Muniz, Ramos Mejia, Fernandez, Alvarez, & Jose de San Martin hospitals.  Attending STI clinics.  STARHS.","I","Argentina","Five sites","Vignoles, M., M. M. Avila, M. L. Osimani, et al.",2006,"HIV Seroincidence Estimates among At-Risk Populations in Buenos Aires and Montevideo: Use of the Serologic Testing Algorithm ...","Journal of Acquired Immune Deficiency Syndromes, vol. 42, no. 4, pp. 494-500.","HIV1","-1","-1","-1.00","2.00","BW","ELISA*2","N/A"
"4","ARG","Five cities","2006-2009","Male sex workers - transgender","P","M","ALL","F0365","Cities: Buenos Aires, La Plata, Cordoba, Rosario, & Santiago del Estero.  Oct. 06 - Oct. 09.  STARHS.  Rapid test: Bio-Rad.","I","Argentina","Five cities","Farias, M. S. R., M. N. Garcia, E. Reynaga, et al.",2011,"First Report on Sexually Transmitted Infections among Trans (Male to Female Transvestites, Transsexuals, or Transgender) and ...","International Journal of Infectious Diseases, vol. 15, issue 9, pp. e635-e640, <http://www.ijidonline.com>, accessed on January 23, 2014.","HIV","85","-1","-1.00","10.70","BW","ELISA, RAPID, WB","259"
"26","ARG","Five cities","2006-2008","Drug users","I","M","ALL","P0588","Cities: Buenos Aires, Rosario, Cordoba, La Plata, & Tucuman.  Age 19+.  Oct. 06 - Nov. 08.  STARHS.  Rapid test: SFD HIV1/2.","I","Argentina","Five cities","Pando, M. A., M. Gomez, M. Vignoles, et al.",2011,"Incidence of HIV Type 1 Infection, Antiretroviral Drug Resistance, and Molecular Characterization in Newly Diagnosed ...","AIDS Research and Human Retroviruses, vol. 27, no. 1, pp. 17-23.","HIV","-1","-1","-1.00","1.65","BW","ELISA, RAPID, WB","N/A"
"4","ARG","Buenos Aires","2003","MSM","H","M","ALL","S0836","MSM=Men having sex w/ men.  Age 18+.  Follow up by 12 mos.  Feb. - Dec. 03.","I","Argentina","Buenos Aires","Segura, M., S. S. Estani, R. Marone, et al.",2007,"Buenos Aires Cohort of Men Who Have Sex with Men: Prevalence, Incidence, Risk Factors, and Molecular Genotyping of HIV Type 1","AIDS Research and Human Retroviruses, vol. 23, no. 11, pp. 1322-1329.","HIV1","12","-1","-1.00","3.90","BW","ELISA, RAPID, WB","327"
"3","ARG","Six cities","2006-2009","Male sex workers","P","M","ALL","F0365","Cities: Buenos Aires, La Plata, Cordoba, Mendoza, Santiago del Estero, & Viedma.  Oct. 06 - Oct. 09.  STARHS.  Rapid test: Bio-Rad.","I","Argentina","Six cities","Farias, M. S. R., M. N. Garcia, E. Reynaga, et al.",2011,"First Report on Sexually Transmitted Infections among Trans (Male to Female Transvestites, Transsexuals, or Transgender) and ...","International Journal of Infectious Diseases, vol. 15, issue 9, pp. e635-e640, <http://www.ijidonline.com>, accessed on January 23, 2014.","HIV","13","-1","-1.00","2.30","BW","ELISA, RAPID, WB","112"
"1","ARG","Buenos Aires","2000-2001","Homosexuals","H","M","ALL","V0293","Recruited from a counseling and testing center.  STARHS.","I","Argentina","Buenos Aires","Vignoles, M., M. M. Avila, M. L. Osimani, et al.",2006,"HIV Seroincidence Estimates among At-Risk Populations in Buenos Aires and Montevideo: Use of the Serologic Testing Algorithm ...","Journal of Acquired Immune Deficiency Syndromes, vol. 42, no. 4, pp. 494-500.","HIV1","-1","-1","-1.00","6.70","BW","ELISA*2","N/A"
"5","ARG","Buenos Aires","2007-2009","MSM","H","M","ALL","P0609","MSM=Men having sex w/ men.  Age 18+.  Nov. 07 - July 09.  STARHS.  Rapid test: SFD HIV.","I","Argentina","Buenos Aires","Pando, M. A., I. C. Balan, R. Marone, et al.",2012,"HIV and Other Sexually Transmitted Infections among Men Who Have Sex with Men Recruited by RDS in Buenos Aires, Argentina ...","PLoS One, vol. 7, issue 6, e39834, pp. 1-7, <http://www.plosone.org>, accessed on January 3, 2014.","HIV","-1","-1","-1.00","5.60","BW","ELISA, RAPID, WB","140"
"29","ARG","Eight cities","2006-2008","Sex workers","P","F","ALL","P0588","Cities: Buenos Aires, Santiago del Estero, Rosario, Parana, Viedma, Cordoba, La Plata, & Mendoza.  Age 19+.  Oct. 06 - Nov. 08.  STARHS.  Rapid test: SFD HIV 1/2.","I","Argentina","Eight cities","Pando, M. A., M. Gomez, M. Vignoles, et al.",2011,"Incidence of HIV Type 1 Infection, Antiretroviral Drug Resistance, and Molecular Characterization in Newly Diagnosed ...","AIDS Research and Human Retroviruses, vol. 27, no. 1, pp. 17-23.","HIV","-1","-1","-1.00","0.62","BW","ELISA, RAPID, WB","N/A"
"28","ARG","Six cities","2006-2008","Male sex workers","P","M","ALL","P0588","Cities: Buenos Aires, Santiago del Estero, Viedma, Cordoba, La Plata, & Mendoza.  Age 19+.  Oct. 06 - Nov. 08.  STARHS.  Rapid test: SFD HIV 1/2.","I","Argentina","Six cities","Pando, M. A., M. Gomez, M. Vignoles, et al.",2011,"Incidence of HIV Type 1 Infection, Antiretroviral Drug Resistance, and Molecular Characterization in Newly Diagnosed ...","AIDS Research and Human Retroviruses, vol. 27, no. 1, pp. 17-23.","HIV","-1","-1","-1.00","2.15","BW","ELISA, RAPID, WB","N/A"
"10","AUS","Melbourne","2007-2013","Homosexuals/bisexuals/STI pts.","H","M","ALL","C1449","301 person yrs. of observation.  Located in Victoria state.  Men having sex w/ men (MSM).  W/ syphilis.  1 Jan. 07 - 31 Dec. 13.","I","Australia","Melbourne Sexual Health Centre","Cheung, K. T., C. K. Fairley, T. R. H. Read, et al.",2016,"HIV Incidence and Predictors of Incident HIV among Men Who Have Sex with Men Attending a Sexual Health Clinic in ...","PLoS One, vol. 11, no. 5, e0156160, <http://www.plosone.org>, accessed on May 31, 2016.","HIV","-1","-1","-1.00","2.33","B","ELISA, WB","N/A"
"2","AUS","Sydney","2002-2006","Homosexuals","H","M","ALL","J0246","Age range 18-75 yrs.  Breakdown by age is provided.  Jan. 02 - Dec. 06.","I","Australia","Sydney","Jin, F., G. P. Prestage, A. McDonald, et al.",2008,"Trend in HIV Incidence in a Cohort of Homosexual Men in Sydney: Data from the Health in Men Study","Sexual Health, vol. 5, issue 2, pp. 109-112.","HIV","52","-1","-1.00","0.87","B","WB","1,257"
